idx,drug_name,drug_text
325,Metformin,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207] Metformin's mechanisms of action are unique from other classes of oral antihyperglycemic drugs. Metformin decreases blood glucose levels by decreasing hepatic glucose production (also called gluconeogenesis), decreasing the intestinal absorption of glucose, and increasing insulin sensitivity by increasing peripheral glucose uptake and utilization.[L12207] It is well established that metformin inhi"
326,Mirabegron,"Mirabegron is a sympathomimetic beta-3 adrenergic receptor agonist used to relax the smooth muscle of the bladder in the treatment of urinary frequency and incontinence. It is unique amongst overactive bladder treatment options in that, unlike other treatments such as [solifenacin] and [darifenacin], it lacks significant antimuscarinic activity,[A232553] which is responsible both for the therapeutic effects of these medications and their broad range of adverse effects. Mirabegron has a comparatively favorable adverse effect profile as compared to other available treatment options, and its complementary mechanism to the antimuscarinics that came before it allows for its use alongside solifenacin in refractory cases.[L32853]

Mirabegron first received FDA approval in 2012, under the brand  Mirabegron is a potent and selective agonist of beta-3 adrenergic receptors. The activation of beta-3 receptors relaxes detrusor smooth muscle during the storage phase of the urinary bladder fill-void cycle, which increases the bladder's storage capacity thereby alleviating feelings of urgency and frequency.[L32853]"
327,Hyoscyamine,"Hyoscyamine is a tropane alkaloid and the levo-isomer of [atropine].[A228423] It is commonly extracted from plants in the _Solanaceae_ or nightshade family.[A228423] Research into the action of hyoscyamine in published literature dates back to 1826.[A228713] Hyoscyamine is used for a wide variety of treatments and therapeutics due to its antimuscarinic properties.[L31548,L31553]

Although hyoscyamine is marketed in the United States, it is not FDA approved.[L31548,L31553] Hyoscyamine competitively and non-selectively antagonises muscarinic receptors in the smooth muscle, cardiac muscle, sino-atrial node, atrioventricular node, exocrine nodes, gastrointestinal tract, and respiratory tract.[A228613,L31548,L31553] Antagonism of muscarinic M1, M4, and M5 receptors in the central nervous system lead to cognitive impairment; antagonism of M2 in the sinoatrial and atriove"
328,Tiaprofenic acid,"Tiaprofenic acid is a non-steroidal anti-inflammatory drug employed in the treatment of pain, particularly arthritis pain. It belongs to the _arylpropionic acid_ (profen) group of nonsteroidal anti-inflammatory drugs (NSAIDs). Tiaprofenic acid belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). It works by blocking the production of a chemical (prostaglandin) which the body produces in response to injury or certain diseases. This prostaglandin would otherwise go on to cause swelling, pain and inflammation."
329,Atropine,"Atropine is an alkaloid originally synthesized from Atropa belladonna. It is a racemic mixture of d-and l-hyoscyamine, of which only l-hyoscyamine is pharmacologically active.[A251670,L42835] Atropine is generally available as a sulfate salt and can be administered by intravenous, subcutaneous, intramuscular, intraosseous, endotracheal and ophthalmic methods. Oral atropine is only available in combination products.[A251660,L42840] Atropine is a competitive, reversible antagonist of muscarinic receptors that blocks the effects of acetylcholine and other choline esters.[A251660,L42815,L42825,L42835] It has a variety of therapeutic applications, including pupil dilation and the treatment of anticholinergic poisoning and symptomatic bradycardia in the absence of reversible causes.[A251660] Atr Atropine binds to and inhibits muscarinic acetylcholine receptors, competitively blocking the effects of acetylcholine and other choline esters.[L42815,L42825,L42835] It acts as a reversible non-specific antagonist of muscarinic receptors, showing affinity for the M1, M2, M3, M4 and M5 receptor subtypes.[A251665] Atropine antagonizes the effects of acetylcholine on tissues innervated by postgangli"
330,Gemfibrozil,"Gemfibrozil is a fibric acid agent, similar to [clofibrate], used to treat Type IIb, IV, and V hyperlipidemias.[A185777,L8525] Gemfibrozil is not a first line treatment and is prescribed to patients who have not responded adequately to weight loss, diet, exercise, and other medications.[L8525]

Gemfibrozil was granted FDA approval on 21 December 1981.[L8525] Gemfibrozil activates peroxisome proliferator-activated receptor-α (PPARα), which alters lipid metabolism.[A185777] This activation leads to increased HDL, apo AI, apo AII, lipoprotein lipase (LPL), inhibition of apo B synthesis, peripheral lipolysis, decreased removal of free fatty acids by the liver, and increased clearance of apoB.[A185390,A185777,L8525]

Upregulated LPL reduces plasma trigly"
331,Amoxapine,"Amoxapine, the <i>N</i>-demethylated derivative of the antipsychotic agent loxapine, is a dibenzoxazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amoxapine does not affect mood or arousal, but may cause sedation. In depressed individuals, amoxapine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also bloc Amoxapine acts by decreasing the reuptake of norepinephrine and serotonin (5-HT)."
332,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38) Albendazole causes degenerative alterations in the tegument and intestinal cells of the worm by diminishing its energy production, ultimately leading to immobilization and death of the parasite. It works by binding to the colchicine-sensitive site of tubulin, thus inhibiting its polymerization or assembly into microtubules. As cytoplasmic microtubules are critical in promoting glucose uptake in la"
333,Etonogestrel,"Etonogestrel molecule is a 3-ketodesogestrel or 19-nortestosterone which is a synthetic biologically active metabolite of progestin desogestrel.[A37184] The first product including etonogestrel was developed by the Merck subsidiary Organon and FDA approved in 2001.[L5692] Etonogestrel binds with high affinity to the progesterone and estrogen receptors in the target organs.[L5695] From the target organs, they include the female reproductive tract, mammary gland, hypothalamus, and pituitary. Once bound, this drug changes the synthesis of different proteins which in order decreases the level of gonadotropin-releasing hormone and the luteinizing hormone.[L5701]"
334,Ranolazine,"Chronic angina is a common cardiovascular condition affecting millions worldwide and causes significant disability while interfering with daily activities.[A189234] Ranolazine is a well-tolerated piperazine derivative used for the management of this condition, offering relief from uncomfortable and debilitating symptoms.[L3580] With a mechanism of action different from drugs used to treat the same condition, ranolazine is a promising anti-anginal therapy. It was originally approved by the FDA in 2006.[L5440] Myocardial ischemia exerts effects on adenosine triphosphate flux, leading to a decrease in the energy available for contraction and relaxation of the heart muscle. Electrolyte balance of sodium and potassium is necessary for maintaining normal cardiac contraction and relaxation. Disruption of adequate sodium and potassium electrolyte balance leads to excessively high concentrations of sodium and "
335,Plerixafor,"Plerixafor is a small-molecule inhibitor of C-X-C chemokine receptor type 4 (CXCR4) that acts as a hematopoietic stem cell mobilizer.[A7117,L45678] It is used to stimulate the release of stem cells from the bone marrow into the blood in patients with non-Hodgkin's lymphoma (NHL) and multiple myeloma to stimulate their immune system. These stem cells are then collected and used in autologous stem cell transplantation to replace blood-forming cells destroyed by chemotherapy.[A7118,L45678] 

As an inhibitor of CXCR4, plerixafor blocks the binding of its ligand, stromal cell-derived factor-1-alpha (SDF-1α). Since CXCR4 and SDF-1α are involved in the trafficking and homing of CD34+ cells to the marrow compartment, blocking this interaction leads to an increase in CD34+ cell circulating levels Plerixafor inhibits the C-X-C chemokine receptor type 4 (CXCR4) on CD34+ cells and reversibly blocks the binding of its ligand, stromal cell-derived factor-1-alpha (SDF-1α). SDF-1α and CXCR4 play a role in the trafficking and homing of human hematopoietic stem cells (HSCs) to the marrow compartment. In the marrow, stem cell CXCR4 can help anchor HSCs to the marrow matrix, either directly via SDF-1"
336,Valdecoxib,"Valdecoxib was removed from the Canadian, U.S., and E.U. markets in 2005 due to concerns about a possible increased risk of heart attack and stroke. Both COX-1 and COX-2 catalyze the conversion of arachidonic acid to prostaglandin (PG) H2, the precursor of PGs and thromboxane. Valdecoxib selectively inhibits the cyclooxygenase-2 (COX-2) enzyme, important for the mediation of inflammation and pain. Unlike non-selective NSAIDs, valdecoxib does not inhibit platelet aggregation."
337,Bezafibrate,"Antilipemic agent that lowers cholesterol and triglycerides. It decreases low density lipoproteins and increases high density lipoproteins. It is generally accepted that bezafibrate is likely an agonist of PPAR-alpha. However, certain other investigations have also suggested that the substance might also elicit some effects on PPAR-gamma and PPAR-delta too."
338,Meropenem,"Meropenem is a broad-spectrum carbapenem antibiotic. It is active against Gram-positive and Gram-negative bacteria. Meropenem exerts its action by penetrating bacterial cells readily and interfering with the synthesis of vital cell wall components, which leads to cell death.

In August 2017, a combination antibacterial therapy under the market name vabomere was approved for treatment of adult patients with complicated urinary tract infections (cUTI). Vabomere consists of meropenem and [DB12107] and is intravenously admininstered. The treatment aims to resolve infection-related symptoms and achieve negative urine culture, where the infections are proven or strongly suspected to be caused by susceptible bacteria. The bactericidal activity of meropenem results from the inhibition of cell wall synthesis. Meropenem readily penetrates the cell wall of most Gram-positive and Gram-negative bacteria to reach penicillin-binding- protein (PBP) targets. Its strongest affinities are toward PBPs 2, 3 and 4 of <i>Escherichia coli</i> and <i>Pseudomonas aeruginosa</i>; and PBPs 1, 2 and 4 of <i>Staphylococcus aureus</i>"
339,Octreotide,"Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction.[L14501] In most cases, it results from an anterior pituitary growth hormone-releasing tumor. Typically, the feet, hands, and face grow abnormally large; organomegaly and insulin resistance may also occur. Acromegaly is a life-threatening disease requiring life-long management.[L14501]

Octreotide is a long-acting drug with pharmacologic activities that mimic those of the natural hormone, somatostatin, which inhibits the secretion of growth hormone.[L14513] Additionally, it is used for the treatment of acromegaly and symptoms arising from various tumors, including carcinoid tumors and vasoactive intestinal tumors (VIPomas).[L14513] In the past, octreotide Octreotide binds to somatostatin receptors coupled to phospholipase C through G proteins and leads to smooth muscle contraction in the blood vessels.[L14519] Downstream effects that stimulate phospholipase C, the production of 1, 4,5-inositol triphosphate, and action on the L-type calcium channels lead to the inhibition of growth hormone, treating the various growth-hormone and metabolic effects o"
340,Enzalutamide,"Enzalutamide is an androgen receptor (AR) inhibitor for the treatment of castration-resistant prostate cancer (CRPC), both metastatic and non-metastatic.[L40639] It is a second-generation antiandrogen agent that the FDA approved on August 31, 2012.[L40639, A252667] Although androgen deprivation therapy (ADT) is the first-line treatment of prostate cancer and remission can be achieved, arising resistance is inevitable, becoming castration-resistant prostate cancer.[A252667] Until recently, docetaxel is the only treatment available for metastatic CRPC; however, AR inhibitors have been developed for more targeted therapy, although first-generation AR inhibitors like bicalutamide did not substantially increase the survival rate.[A252667] Second-generation such as enzalutamide is more efficacio Enzalutamide is a competitive androgen receptor (AR) inhibitor that has a threefold inhibition on the androgen signaling pathway without significant AR agonist activity.[L43227, A252642] It inhibits androgen binding to its receptor, androgen receptor nuclear translocation, and subsequent interaction with chromosomal DNA to upregulate oncogenes.[A252642, A252647] Enzalutamide binds to the AR with 5"
341,Verteporfin,"Verteporfin, marketed as Visudyne, is a benzoporphyrin derivative comprising a 50:50 mixture of two isomers: [CL-315555] and [CL-315585]. It is used as a photosensitizer in photodynamic therapy to eliminate abnormal blood vessels in wet form macular degeneration. Verteporfin accumulates in these abnormal blood vessels and, when stimulated by nonthermal red light with a wavelength of 693 nm in the presence of oxygen, produces highly reactive short-lived singlet oxygen and other reactive oxygen radicals, resulting in local damage to the endothelium and blockage of the vessels. Verteporfin is transported in the plasma primarily by lipoproteins. Once verteporfin is activated by light in the presence of oxygen, highly reactive, short-lived singlet oxygen and reactive oxygen radicals are generated. Light activation of verteporfin results in local damage to neovascular endothelium, resulting in vessel occlusion. Damaged endothelium is known to release procoagulant and vasoac"
342,Gonadorelin,"Gonadorelin is another name for gonadotropin-releasing hormone (GnRH). It is a synthetic decapeptide prepared using solid phase peptide synthesis. GnRH is responsible for the release of follicle stimulating hormone and leutinizing hormone from the anterior pituitary. Systemic - Like naturally occurring gonadotropin-releasing hormone (GnRH), gonadorelin primarily stimulates the synthesis and release of luteinizing hormone (LH) from the anterior pituitary gland. Follicle-stimulating hormone (FSH) production and release is also increased by gonadorelin, but to a lesser degree. In prepubertal females and some gonadal function disorders, the FSH response may be gre"
343,Torasemide,"Torasemide is a high-ceiling loop diuretic.[A174463] Structurally, it is a pyridine-sulfonylurea used as an antihypertensive agent.[A319] Torasemide was first approved for clinical use by the FDA in 1993.[L5257] As mentioned above, torasemide is part of the loop diuretics and thus, it acts by reducing the oxygen demand in the medullary thick ascending loop of Henle by inhibiting the Na+/K+/Cl- pump on the luminal cell membrane surface.[A174466] This action is obtained by the binding of torasemide to a chloride ion-binding site of the transport molecule.[L5257]

Torasemide is known to have an effect in t"
344,Betahistine,"Ménière's disease is a progressive disease of the inner ear characterized by vertigo, tinnitus, and hearing loss. It has a significant impact on both the physical and social functioning of affected individuals.[A220318,L16408] 

Betahistine is a histamine-like antivertigo drug used for treating symptoms associated with Ménière's disease. It is thought to reduce symptoms through its actions on histamine receptors.[A220333,L16403] Betahistine was first approved by the FDA in the 1970s but withdrawn within approximately 5 years due to a lack of evidence supporting its efficacy.  It is currently marketed in Canada by various companies, including Teva Pharmaceuticals. Vertigo is a disturbing sensation of movement caused by dysfunction of the labyrinth (inner ear), vestibular nerve, cerebellum, brainstem, or Central Nervous System (CNS). Vestibular forms of vertigo are often accompanied by auditory dysfunctions such as hyperacusis, hearing loss, and tinnitus.[A220328] In most cases, adaptive mechanisms of the CNS lead to functional recovery after episodes of ver"
345,Methyl aminolevulinate,"Methyl aminolevulinate is a prodrug that is metabolised to Protoporphyrin IX (a photosensitizer) used in photodynamic therapy. Photosensitization following application of methyl aminolevulinate cream occurs through the metabolic conversion of methyl aminolevulinate (prodrug) to photoactive porphyrins (PAP), which accumulates in the skin lesions to which the cream has been applied. When exposed to light of appropriate wavelength and energy, the accumulated photoactive porphyrins produce a photodynamic reaction, resulting i"
346,Pirbuterol,"Pirbuterol is a beta-2 adrenergic bronchodilator. In vitro studies and in vivo pharmacologic studies have demonstrated that pirbuterol has a preferential effect on beta-2 Adrenergic receptors compared with isoproterenol. While it is recognized that beta-2 adrenergic receptors are the predominant receptors in bronchial smooth muscle, data indicate that there is a population of beta-2 receptors in the human heart, existing in a concentration between 10-50%. The precise function of these receptors has not been established.

The pharmacologic effects of beta adrenergic agonist drugs, including pirbuterol, are at least in proof attributable to stimulation through beta adrenergic receptors of intracellular adenyl cyclase, the enzyme which catalyzes the conversion of adenosine triphosphate (AlP The pharmacologic effects of beta adrenergic agonist drugs, including pirbuterol, are at least in proof attributable to stimulation through beta adrenergic receptors of intracellular adenyl cyclase, the enzyme which catalyzes the conversion of adenosine triphosphate (AlP) to cyclic-3&#8224; ,5&#8224;-adenosine monophosphate (c-AMP). Increased c-AMP levels are associated with relaxation of bronchia"
347,Bosutinib,"Bosutinib is a 7-alkoxy-3-quinolinecarbonitrile that functions as a potent, dual SRC and ABL tyrosine kinase inhibitor indicated for chronic myelogenous leukemia (CML), specifically Philadelphia chromosome-positive (Ph+) CML. Philadelphia chromosome is a hallmark of CML due to the reciprocal translocation t(9;22)(q34;q11), resulting in a BCR-ABL fusion protein.[A6902,A261796,A261801] The first BCR-ABL inhibitor, [imatinib], was introduced over a decade ago as a breakthrough in CML management; however, emerging resistance to [imatinib] poses challenges in achieving remission.[A17961] Second-generation BCR-ABL inhibitors like bosutinib inhibit most resistance-conferring BCR-ABL mutations except V299L and T315, thus providing more therapeutic options for patients.[A6901,A17961]

Bosutinib w Bosutinib is a tyrosine kinase inhibitor. Bosutinib inhibits the BCR-ABL kinase that promotes CML; it is also an inhibitor of Src-family kinases including Src, Lyn, and Hck. Bosutinib inhibited 16 of 18 imatinib-resistant forms of BCR-ABL kinase expressed in murine myeloid cell lines. Bosutinib did not inhibit the T315I and V299L mutant cells.[L48355]"
348,Dronedarone,"Dronedarone is a Class III antiarrhythmic drug that works to restore the normal sinus rhythm in patients with paroxysmal or persistent atrial fibrillation. Atrial fibrillation is a common sustained arrhythmia where the treatment primarily focuses on stroke prevention and symptom management. It is managed by rate control, rhythm control, prevention of thromboembolic events, and treatment of the underlying disease.[A34604] Similar to [amiodarone], dronedarone is a multichannel blocker that works to control rhythm and rate in atrial fibrillation.[A186071] It meets criteria of all four Vaughan Williams antiarrhythmic drug classes by blocking sodium, potassium, and calcium ion channels and inhibiting β-adrenergic receptors.[A34604,L8699] 

Dronedarone is a related benzofuran compound to amiod Atrial fibrillation is the most common type of arrhythmia that is caused by abnormal electrical activity in the atria. In atrial fibrillation, tachyarrhythmia, or fast heart rate, can either be paroxysmal (less than 7 days) or persistent (more than 7 days). Atrial fibrillation causes turbulent and abnormal blood flow through the heart chambers, leading to decreased the effectiveness of the heart t"
349,Terbutaline,"Terbutaline was first synthesized in 1966[A230333] and described in the literature in the late 1960s and early 1970s.[A230328] It is a selective beta-2 adrenergic agonist used as a bronchodilator in asthmatic patients.[A230333,L32093,L32098]

Terbutaline was granted FDA approval on 25 March 1974.[L32088] Terbutaline is a selective beta-2 adrenergic receptor agonist.[A230328] Agonism of these receptors in bronchioles activates adenylyl cyclase, increasing intracellular cyclic adenosine monophosphate (cAMP).[A230338] Increased cAMP decreases intracellular calcium, activating protein kinase A, inactivating myosin light-chain kinase, activating myosin light-chain phosphatase, and finally relaxing smoo"
350,Dofetilide,"Dofetilide is a class III antiarrhythmic agent that is approved by the Food and Drug Administration (FDA) for the maintenance of sinus rhythm in individuals prone to the formation of atrial fibrillation and flutter, and for the chemical cardioversion to sinus rhythm from atrial fibrillation and flutter. The mechanism of action of Dofetilide is a blockade of the cardiac ion channel carrying the rapid component of the delayed rectifier potassium current, IKr. This inhibition of potassium channels results in a prolongation of action potential duration and the effective refractory period of accessory pathways (both anterograde and retrograde conduction in the accessory pathway)."
351,Fosamprenavir,"Fosamprenavir is a prodrug of amprenavir, an inhibitor of human immunodeficiency virus (HIV) protease. Fosamprenavir is a prodrug that is rapidly hydrolyzed to amprenavir by cellular phosphatases in the gut epithelium as it is absorbed. Amprenavir is an inhibitor of HIV-1 protease. During HIV replication, HIV protease cleaves viral polypeptide products of the Gag and Gag-Pol genes to form structural proteins of the virion core and essential viral enzymes. Amprenavir interferes with this process by "
352,Aminophylline,"Aminophylline is a drug combination that contains theophylline and ethylenediamine in a 2:1 ratio. Once in the body, theophylline is released and acts as a phosphodiesterase inhibitor, adenosine receptor blocker, and histone deacetylase activator. Similar to other theophyllines, aminophylline is indicated for the treatment of lung diseases such as asthma, chronic bronchitis, and COPD. The majority of aminophylline medications are discontinued and the remaining medications on the market are in short supply. Aminophylline is the ethylenediamine salt of theophylline. After ingestion, theophylline is released from aminophylline, and theophylline relaxes the smooth muscle of the bronchial airways and pulmonary blood vessels and reduces airway responsiveness to histamine, methacholine, adenosine, and allergen. Theophylline competitively inhibits type III and type IV phosphodiesterase (PDE), the enzyme res"
353,Theophylline,"A methylxanthine derivative from tea with diuretic, smooth muscle relaxant, bronchial dilation, cardiac and central nervous system stimulant activities. Mechanistically, theophylline acts as a phosphodiesterase inhibitor, adenosine receptor blocker, and histone deacetylase activator. Theophylline is marketed under several brand names such as Uniphyl and Theochron, and it is indicated mainly for asthma, bronchospasm, and COPD. Theophylline relaxes the smooth muscle of the bronchial airways and pulmonary blood vessels and reduces airway responsiveness to histamine, methacholine, adenosine, and allergen. Theophylline competitively inhibits type III and type IV phosphodiesterase (PDE), the enzyme responsible for breaking down cyclic AMP in smooth muscle cells, possibly resulting in bronchodilation. Theophylline also binds "
354,Azathioprine,"Azathioprine is a prodrug of 6-mercaptopurine, first synthesized in 1956 by Gertrude Elion, William Lange, and George Hitchings in an attempt to produce a derivative of 6-mercaptopurine with a better therapeutic index.[A189678,A189687,A189690] Azathioprine is used to treat inflammatory conditions like rheumatoid arthritis and as an immunosuppressant in the prevention of renal transplant rejection.[L11214]

Azathiprine was granted FDA approval on 20 March 1968.[L11214] Azathioprine's mechanism of action is not entirely understood but it may be related to inhibition of purine synthesis, along with inhibition of B and T cells.[A19872]

6-thioguanine triphosphate, a metabolite of azathioprine, modulates activation of rac1 when costimulated with CD28, inducing T cell apoptosis.[A19872] This may be mediated through rac1's action on mitogen-activated protein kinase,"
355,Prazosin,"Prazosin is a drug used to treat hypertension.  Prazosin is marketed by _Pfizer_ and was initially approved by the FDA in 1988.[L5828]  It belongs to the class of drugs known as alpha-1 antagonists.

Recently, many studies have evaluated the benefits of this drug in controlling the symptoms of post-traumatic stress disorder (PTSD) and associated nightmares.[A176618, A176621, A176624] Alpha-adrenergic receptors are essential for the regulation of blood pressure in humans. Two types of alpha receptors, alpha 1 and alpha 2, both play a role in regulating blood pressure.  Alpha-1 receptors are postsynaptic (located after the nerve junction, or space between a nerve fiber and target tissue). In this case, the target tissue is the vascular smooth muscle [L5837].  These receptors, wh"
356,Indomethacin,"Indometacin, or indomethacin, is a non-steroidal anti-inflammatory drug (NSAID) with anti-inflammatory, analgesic, and antipyretic properties. NSAIDs consist of agents that are structurally unrelated; the NSAID chemical classification of indometacin is an indole-acetic acid derivative with the chemical name 1- (p-chlorobenzoyl)25-methoxy-2-methylindole-3-acetic acid.[A177871] The pharmacological effect of indometacin is not fully understood, however, it is thought to be mediated through potent and nonselective inhibition of the enzyme cyclooxygenase (COX), which is the main enzyme responsible for catalyzes the rate-limiting step in prostaglandin and thromboxane biosynthesis via the arachidonic acid (AA) pathway. Indometacin was first discovered in 1963 and it was first approved for use in  Indometacin is a nonspecific and reversible inhibitor of the cyclo-oxygenase (COX) enzyme or prostaglandin G/H synthase. There are two identified isoforms of COX: COX-1 is universally present in most body tissues and is involved in the synthesis of the prostaglandins and thromboxane A2, while COX-2 is expressed in response to injury or inflammation.[A177871] Constitutively expressed, the COX-1 enz"
357,Tetrahydrobiopterin,"Sapropterin (tetrahydrobiopterin or BH4) is a cofactor in the synthesis of nitric oxide. It is also essential in the conversion of phenylalanine to tyrosine by the enzyme phenylalanine-4-hydroxylase; the conversion of tyrosine to L-dopa by the enzyme tyrosine hydroxylase; and conversion of tryptophan to 5-hydroxytryptophan via tryptophan hydroxylase. Tetrahydrobiopterin (BH4) is a natural co-factor or co-enzyme for phenylalanine-4-hydroxylase (PAH),Tetrahydrobiopterine, and tryptophan-5-hydroxylase. Tetrahydrobiopterin is also a natural co-factor for nitrate oxide synthase. Therefore BH4 is required for the conversion of phenylalanine to tyrosine, for the production of epinephrine (adrenaline) and the synthesis of the monoamine neuro-transmitt"
358,Furosemide,"Furosemide is a potent loop diuretic that acts on the kidneys to ultimately increase water loss from the body. It is an anthranilic acid derivative.[L7958] Furosemide is used for edema secondary to various clinical conditions, such as congestive heart failure exacerbation, liver failure, renal failure, and high blood pressure.[L7961] It mainly works by inhibiting electrolyte reabsorption from the kidneys and enhancing the excretion of water from the body. Furosemide has a fast onset and short duration of action and has been used safely and effectively in both pediatric and adult patients.[A182495] The use of furosemide is particularly beneficial in clinical settings that require a drug with a higher diuretic potential. In addition to oral formulations, the solution for intravenous and intr Furosemide promotes diuresis by blocking tubular reabsorption of sodium and chloride in the proximal and distal tubules, as well as in the thick ascending loop of Henle. This diuretic effect is achieved through the competitive inhibition of sodium-potassium-chloride cotransporters (NKCC2) expressed along these tubules in the nephron, preventing the transport of sodium ions from the lumenal side in"
359,"6s-5,6,7,8-Tetrahydrobiopterin","6s-5,6,7,8-Tetrahydrobiopterin"
360,Temazepam,"Temazepam, like many other similar and related benzodiazepines, acts as a gamma-aminobutyric acid (GABA) modulator and is capable of eliciting a variety of actions including sedation, hypnosis, skeletal muscle relaxation, anticonvulsant activity, and anxiolytic action [A175207, A175210, F3718, F3721].

Although the chemical synthesis of temazepam was established by 1965 [A175333], mainstream contemporary use of the medication did not occur until it's legitimate use as treatment for insomnia was accepted and approved later on. In particular, before temazepam saw regular prescription use in civilians it was - and still is - employed by the US military as a sedative-hypnotic medication to be taken by soldiers, pilots, etc. to obtain the necessary rest required for medical recovery or schedu Gamma-Aminobutyric acid (GABA) is considered the principal inhibitory neurotransmitter in the human body [A175207, A175210, F3718, F3721]. When GABA binds to GABA(a) receptors found in neuron synapses, chloride ions are conducted across neuron cell membranes via an ion channel in the receptors [A175207, A175210, F3718, F3721]. With enough chloride ions conducted, the local, associated neuron membr"
361,"(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin","(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin"
362,Carisoprodol,"Originally approved by the FDA in 1959 [FDA label], carisoprodol is a centrally acting muscle relaxant used in painful musculoskeletal conditions in conjunction with physical therapy and other medications [A176047].  This drug is available by itself in an oral tablet or combined with aspirin, or in a fixed-dose combination with both aspirin and codeine [FDA label, F4060, F4069].

In January 2012, this drug was classified as a Schedule IV substance under the controlled substances act in several US states due to alarming rates of abuse [A176062, A176077] despite having a low potential for abuse in addition to a low risk of dependence [L5074]. The mechanism of action of carisoprodol in relieving discomfort associated with acute painful musculoskeletal conditions has not been confirmed.
In studies using animal models, the muscle relaxation that is induced by carisoprodol is associated with a change in the interneuronal activity of the spinal cord and of the descending reticular formation, located in the brain.[FDA label] 

The abuse p"
363,Bumetanide,"Bumetanide  is a sulfamyl diuretic. Bumetanide interferes with renal cAMP and/or inhibits the sodium-potassium ATPase pump. Bumetanide appears to block the active reabsorption of chloride and possibly sodium in the ascending loop of Henle, altering electrolyte transfer in the proximal tubule. This results in excretion of sodium, chloride, and water and, hence, diuresis."
364,Trovafloxacin,"Trovafloxacin is a broad spectrum antibiotic that has been commonly marketed under the brand name Trovan by Pfizer. It exerts its antibacterial activity by inhibiting the uncoiling of supercoiled DNA in various bacteria by blocking the activity of DNA gyrase and topoisomerase IV. It was shown to be more effective against Gram-positive bacteria than Gram-negative bacteria when compared to previous fluoroquinolones. Due to its hepatotoxic potential, trovafloxacin was withdrawn from the market. Trovafloxacin is a fluoronaphthyridone related to the fluoroquinolones with in vitro activity against a wide range of gram-negative and gram-positive aerobic and anaerobic microorganisms. The bactericidal action of trovafloxacin results from inhibition of DNA gyrase and topoisomerase IV. DNA gyrase is an essential enzyme that is involved in the replication, transcription, and repair of bacterial D"
365,Pindolol,"Pindolol is a first generation non-selective beta blocker used in the treatment of hypertension.[L32353] Early research into the use of pindolol found it had chronotropic effects, and so further investigation focused on the treatment of arrhythmia.[A231059] Research into pindolol's use in the treatment of hypertension began in the early 1970s.[A231064]

Pindolol was granted FDA approval on 3 September 1982.[L32348] The beta-1 adrenoceptor is a G-protein-coupled receptor.[A230948] Agonism of the beta-1 adrenoceptor allows the Gs subunit to upregulate adenylyl cyclase, converting ATP to cyclic AMP (cAMP).[A230948] Increased concentrations of cAMP activate cAMP-dependant kinase A, phosphorylating calcium channels, raising intracellular calcium, increasing calcium exchange through the sarcoplasmic reticulum, and"
366,Glipizide,"Glipizide is an oral hypoglycemic agent in the second-generation sulfonylurea drug class that is used to control blood sugar levels in patients with type 2 diabetes mellitus. It was first introduced in 1984 [A179491] and is available in various countries including Canada and the U.S. According to the 2018 Clinical Practice Guidelines by Diabetes Canada, sulfonylurea drugs are considered a second-line glucose-lowering therapy following metformin.[L6712] Because sulfonylureas require functional pancreatic beta cells for their therapeutic effectiveness, sulfonylureas are more commonly used for early-stage type 2 diabetes when there is no progressed pancreatic failure.[T28] Compared to the first-generation sulfonylureas, such as [tolbutamide] and [chlorpropamide], second-generation sulfonylure Type 2 diabetes mellitus (T2DM) is a chronic metabolic disorder with increasing prevalence worldwide. Characterized by higher-than-normal levels of blood glucose, T2DM is a complex disorder that arises from the interaction between genetic, environmental and behavioral risk factors. Insulin is a peptide hormone that plays a critical role in regulating blood glucose levels. In response to high blood"
