idx,se_name,se_text,benchmark_idx
511,intestinal perforation,"Intestinal perforation. Also known as: Bowel perforation, Intestinal perforation, Intestinal perforation NOS",763
512,intracranial pressure increased,"Intracranial pressure increased. Also known as: Hypertension intracranial, Increased intracranial pressure, Intracranial hypertension",379
513,intraocular pressure increased,"Intraocular pressure increased. Also known as: Increased intraocular pressure, Intraocular pressure high, Intraocular pressure increased",921
514,iritis,"Iritis. Also known as: Iritis, Granulomatous iritis, Iritides",930
515,iron deficiency anaemia,"Iron deficiency anaemia. Also known as: Anaemia iron deficiency, Anemia iron deficiency, Iron def anaemia",953
516,irritability,"Irritability. Also known as: Erethism, Feeling irritated, Irritability",819
517,irritable bowel syndrome,"Irritable bowel syndrome. Also known as: Bowel disorder psychogenic, Colitis mucous, Colon spastic",130
518,ischaemia,"Ischaemia. Also known as: Ischaemia NOS, Ischemia, Ischaemia",993
519,jaundice,"Jaundice. Also known as: Icterus, Jaundice, Jaundice (excl neonatal)",19
520,jaundice cholestatic,"Jaundice cholestatic. Also known as: Cholestatic jaundice, Jaundice cholestatic, Jaundice extrahepatic obstructive",698
521,joint stiffness,"Joint stiffness. Also known as: Ankle stiffness, Early morning joint stiffness, Jaw joint rigid state of",548
522,joint swelling,"Joint swelling. Also known as: Ankle swelling, Ankles swelling, Ankles swollen",400
523,keratitis,"Keratitis. Also known as: Certain types of keratoconjunctivitis, Corneal inflammation, Filamentary keratitis",291
524,ketosis,"Ketosis. Also known as: Ketosis, Ketoacidosis, Ketoacidoses",389
525,laboratory test abnormal,"Laboratory test abnormal. Also known as: Chemistry abnormal, Lab test abnormal, Lab test abnormality",471
526,labyrinthitis,"Labyrinthitis. Also known as: Circumscribed labyrinthitis, Labyrinthitis, Labyrinthitis (excl dizziness)",695
527,laceration,laceration,431
528,lacrimal disorder,"Lacrimal disorder. Also known as: Dacryops, Dislocation of lacrimal gland, Lacrimal disorder NOS",310
529,lacrimal structural disorder,"Lacrimal structural disorder. Also known as: Disorders of lacrimal system, Other change of lacrimal passages, Other changes of lacrimal passages",92
530,lacrimation increased,"Lacrimation increased. Also known as: Epiphora, Epiphora due to excess lacrimation, Epiphora due to insufficient drainage",401
531,lactic acidosis,"Lactic acidosis. Also known as: Acidosis lactic, Lactic acidosis, Lactic acidosis syndrome",425
532,laryngeal oedema,"Laryngeal oedema. Also known as: Edema glottis, Edema larynx, Edema of larynx",856
533,laryngeal pain,"Laryngeal pain. Also known as: Laryngeal pain, Larynx burning pain of, Larynx pain",259
534,laryngitis,"Laryngitis. Also known as: Acute laryngitis, Chronic laryngitis, Laryngitis",166
535,laryngospasm,"Laryngospasm. Also known as: Glottic spasm, Laryngeal spasm, Laryngismus",155
536,lethargy,"Lethargy. Also known as: Lethargic, Lethargic tendency, Lethargy",385
537,leukocytosis,"Leukocytosis. Also known as: Leucocytosis NOS, Leukocytosis, Polymorphonuclear leucocytosis",184
538,leukoderma,Leukoderma. Also known as: Leukoderma,90
539,leukopenia,"Leukopenia. Also known as: Leucopenia, Leukopenia NOS, Leukopenia",42
540,libido decreased,"Libido decreased. Also known as: Female hypoactive sexual desire disorder due to a general medical condition, Hypoactive sexual desire disorder, Libido decreased",947
541,libido disorder,"Libido disorder. Also known as: Influence on libido, Libido disorder NOS, Libido disorder",973
542,libido increased,"Libido increased. Also known as: Increased libido, Libido increased, Sexual desire increased",934
543,lichenoid keratosis,"Lichenoid keratosis. Also known as: Dermatitis lichen planus-like, Dermatitis lichenoid, Eruption lichenoid",372
544,ligament sprain,"Ligament sprain. Also known as: Acromioclavicular (joint) (ligament) sprain, Acromioclavicular (joint) (ligament) sprains and strains, Ankle sprain",409
545,lipase increased,"Lipase increased. Also known as: Lipase increased, Blood lipase increased",325
546,lipodystrophy acquired,"Lipodystrophy acquired. Also known as: Lipodystrophy, Lipodystrophy acquired, Flat buttocks",726
547,liver disorder,"Liver disorder. Also known as: Advanced chronic liver disease, Chronic hepatopathy due to metabolic defect, Chronic liver disease",247
548,liver function test abnormal,"Liver function test abnormal. Also known as: Abnormal LFTs, Abnormal liver function tests, Deranged liver function tests",925
549,liver injury,"Liver injury. Also known as: Acute liver damage, Damage liver, Hepatic damage",197
550,local swelling,local swelling,292
551,loss of consciousness,"Loss of consciousness. Also known as: Black-out (not amnesia), Blacked out, Blacked-out (not amnesia)",78
552,loss of libido,"Loss of libido. Also known as: Lack of libido, Libido lack, Libido loss of",227
553,lower respiratory tract infection,"Lower respiratory tract infection. Also known as: Chest infection, Lower resp tract infec, Lower resp. tract infection",183
554,lung disorder,"Lung disorder. Also known as: Disorder lung, Disorder pulmonary, Lung disorder",668
555,lung infection,lung infection,152
556,lung infiltration,"Lung infiltration. Also known as: Lung infiltration, Lung infiltration NOS, Pulmonary infiltration",514
557,lymphadenopathy,"Lymphadenopathy. Also known as: Adenopathy, Axillary adenopathy, Axillary lymph nodes enlarged",252
558,lymphocyte count decreased,"Lymphocyte count decreased. Also known as: Lymphocyte count decreased, Lymphocyte count low, Absolute lymphocyte count decreased",821
559,lymphocytosis,"Lymphocytosis. Also known as: Lymphocytosis, Lymphocytoses",538
560,lymphoedema,"Lymphoedema. Also known as: Lymphedema, Lymphoedema, Lymphoedema NOS",927
561,lymphoma,"Lymphoma. Also known as: Lymphoma, Lymphoma malignant, Lymphoma NOS",211
562,lymphopenia,"Lymphopenia. Also known as: Lymphocytopenia, Lymphopenia, Prolonged lymphopenia",648
563,major depression,"Major depression. Also known as: Depression endogenous, Depression psychotic, Depressive type psychosis",688
564,malaise,"Malaise. Also known as: Feeling sick, Feeling unwell, Felt generally ill",878
565,malignant melanoma,"Malignant melanoma. Also known as: Lentigo melanoma, Malignant melanoma, Malignant melanoma of other specified sites of skin",840
566,malnutrition,"Malnutrition. Also known as: Arrested development following protein-calorie malnutrition, Malnutrition NOS, Malnutrition of mild degree",214
567,mania,"Mania. Also known as: Acute mania, Atypical manic disorder, Change to manic state",6
568,mastitis,"Mastitis. Also known as: Acute mastitis, Breast infection, Breast infection NOS",105
569,mediastinal disorder,"Mediastinal disorder. Also known as: Mediastinal disorder NOS, Other diseases of mediastinum, not elsewhere classified, Mediastinum widened",377
570,melaena,"Melaena. Also known as: Blood clot excretion, Melaena, Melena",837
571,melanosis,"Melanosis. Also known as: Melanosis, Melanoses, Melanism",236
572,memory impairment,"Memory impairment. Also known as: Forgetfulness, Hypomnesia, Memory deficit",643
573,meningitis,"Meningitis. Also known as: Chronic meningitis, Meningitis, Meningitis due to other nonbacterial organisms classified elsewhere",489
574,menopausal symptoms,"Menopausal symptoms. Also known as: Climacteric symptoms, Hot flushes menopausal, Hot flushes, menopausal",850
575,menopause,"Menopause. Also known as: Climacteric, Menopausal, Menopausal or female climacteric states",223
576,menorrhagia,menorrhagia,305
577,menstrual disorder,"Menstrual disorder. Also known as: Disorder menstrual, Disorders of menstruation and other abnormal bleeding from female genital tract, Menstrual cycle abnormal",271
578,menstruation irregular,"Menstruation irregular. Also known as: Irregular menstrual cycle, Irregular menstruation, Irregular periods",436
579,mental disability,"Mental disability. Also known as: Mental disability, Mental disability NOS",399
580,mental disorder,"Mental disorder. Also known as: Breakdown nervous, Mental aberration, Mental abnormality acute transient",539
581,metabolic acidosis,"Metabolic acidosis. Also known as: Acidosis compensatory, Acidosis metabolic, Anion gap acidosis",466
582,metrorrhagia,metrorrhagia,329
583,micturition disorder,"Micturition disorder. Also known as: Micturition disorder, Other specified abnormality of urination, Urination abnormal NOS",769
584,micturition urgency,"Micturition urgency. Also known as: Mictruition urgent, Micturition urgency, Urgency of mict",915
585,migraine,"Migraine. Also known as: Fulgurating migraine, Migraine, Migraine aggravated",662
586,miosis,"Miosis. Also known as: Constricted pupils, Miosis, Miosis (persistent), not due to miotics",20
587,monocytosis,Monocytosis. Also known as: Monocytosis,801
588,mood swings,"Mood swings. Also known as: Mood swings, Mood variable, Mood instability",913
589,motion sickness,"Motion sickness. Also known as: Air sickness, Car sickness, Motion sickness",621
590,mouth ulceration,"Mouth ulceration. Also known as: Buccal mucosa ulceration, Buccal ulceration, Mouth ulcer",942
591,movement disorder,"Movement disorder. Also known as: Movement disorder, Movement disorder NOS, Movements disturbance NOS",48
592,mucosal inflammation,"Mucosal inflammation. Also known as: Inflammation mucous membrane, Mucosal inflammation, Mucosal inflammation NOS",602
593,mucous membrane disorder,mucous membrane disorder,722
594,multiple fractures,"Multiple fractures. Also known as: Broken bones, Clo fos or face & oth bones, with intcran inj of oth & unspec nature, with prol loc and rtrn to pecl, Clo fos or face & oth bones, with intcran inj of oth & unspec nature, with prol loc,w/o rtrn to pecl",304
595,muscle atrophy,"Muscle atrophy. Also known as: Atrophy muscle, Atrophy skeletal muscle, Degeneration muscle",681
596,muscle contractions involuntary,"Muscle contractions involuntary. Also known as: Contraction skeletal muscle, Fasciculation, Fasciculation skeletal muscle",505
597,muscle relaxant therapy,"Muscle relaxant therapy. Also known as: Muscle relaxant, Muscle relaxant therapy",642
598,muscle rigidity,"Muscle rigidity. Also known as: Lead pipe rigidity, Marked rigidity, Muscle rigidity",980
599,muscle spasms,"Muscle spasms. Also known as: Cramp, Cramp in hand, Cramp in legs thighs",746
600,muscle tightness,"Muscle tightness. Also known as: Neck tightness, Perioral tension, Tightness in jaw",427
601,muscle twitching,"Muscle twitching. Also known as: Muscle twitch, Muscle twitching, Twitch skeletal muscle",836
602,muscular weakness,"Muscular weakness. Also known as: Hands weakness of, Lower extremities weakness of, Muscle weakness",680
603,musculoskeletal chest pain,"Musculoskeletal chest pain. Also known as: Chest tenderness, Chest tenderness of, Chest wall pain",367
604,musculoskeletal discomfort,"Musculoskeletal discomfort. Also known as: Back discomfort, Discomfort in joints, Neck discomfort",945
605,musculoskeletal pain,"Musculoskeletal pain. Also known as: Musculoskeletal pain, Shoulder blade pain, Buttock pain",493
606,musculoskeletal stiffness,"Musculoskeletal stiffness. Also known as: Early morning stiffness, Fingers stiffness, Limbs stiffness",220
607,myalgia,"Myalgia. Also known as: Generalised muscle aches, Muscle ache, Muscle pain",350
608,mydriasis,"Mydriasis. Also known as: Dilatation pupillary, Dilated pupils, Mydriasis",294
609,myelitis,"Myelitis. Also known as: Myelitis, Myelitis NOS, Myeloradiculitis",678
610,myocardial infarction,"Myocardial infarction. Also known as: Anterior MI, Attack heart (NOS), Cardiopathy necrotic",273
611,myocardial ischaemia,"Myocardial ischaemia. Also known as: Cardiac ischaemia, Chronic ischaemic heart disease, unspecified, Chronic ischemic heart disease, unspecified",321
612,myocarditis,"Myocarditis. Also known as: Acute myocarditis, Acute myocarditis in diseases classified elsewhere, Acute myocarditis, unspecified",811
613,myoclonus,"Myoclonus. Also known as: Myclonic jerks, Myoclonic jerks, Myoclonus",709
614,myopathy,"Myopathy. Also known as: Myopathy, Myopathy aggravated, Myopathy steroid",629
615,myositis,"Myositis. Also known as: Interstitial myositis, Muscle inflammation, Myalgia and myositis, unspecified",120
616,nail disorder,"Nail disorder. Also known as: Disease of nail, unspecified, Diseases of nail, Disorder nail",683
617,nasal congestion,"Nasal congestion. Also known as: Congestion nasal, Nasal congestion, Nasal stuffiness",82
618,nasal discomfort,"Nasal discomfort. Also known as: Discomfort in nose, Nasal burning, Nasal cavity strange sensation of",511
619,nasal dryness,"Nasal dryness. Also known as: Dry nose, Nasal dryness, Nose dry feeling of",920
620,nasopharyngitis,"Nasopharyngitis. Also known as: Acute nasopharyngitis, Acute nasopharyngitis (common cold), Catarrhal lumps",161
621,nausea,"Nausea. Also known as: Churning of stomach, Feeling queasy, Nausea",748
622,neck pain,"Neck pain. Also known as: Acute cervical pain, Cervical pain, Cervicalgia",751
623,neoplasm,"Neoplasm. Also known as: Cystoma, Epithelioma, Neoplasm",173
624,neoplasm malignant,"Neoplasm malignant. Also known as: Cancer, Cancer (NOS), Carcinoma",518
625,nephritis,"Nephritis. Also known as: Acute nephritis, Nephritis, Nephritis acute",561
626,nephrolithiasis,"Nephrolithiasis. Also known as: Calculus kidney, Calculus of kidney, Calculus of kidney and ureter",87
627,nephropathy,"Nephropathy. Also known as: Nephropathy, Nephropathy NOS, Renal disease",261
628,nephropathy toxic,"Nephropathy toxic. Also known as: Analgesic nephropathy, Nephropathy toxic, Radiocontrast nephropathy",604
629,nephrotic syndrome,"Nephrotic syndrome. Also known as: Nephrosis, Nephrosis osmotic, Nephrotic syndrome",795
630,nervous system disorder,"Nervous system disorder. Also known as: Central nervous system disorder, Central nervous system disorder NOS, Cerebellar hemisphere disorder",719
631,nervousness,"Nervousness. Also known as: Jumpiness, Jumpy, Nervous",744
632,neuralgia,"Neuralgia. Also known as: Nerve pain, Neuralgia, Neuralgia affecting finger tips",456
633,neuritis,"Neuritis. Also known as: Neuritis, Neuritis NOS, Neuronitis",244
634,neuroleptic malignant syndrome,"Neuroleptic malignant syndrome. Also known as: Neuroleptic malignant, Neuroleptic malignant syndrome, NMS",787
635,neuropathy peripheral,"Neuropathy peripheral. Also known as: Hereditary and idiopathic peripheral neuropathy, Hereditary and idiopathic peripheral neuropathy, other, Inflammatory and toxic neuropathy",596
636,neurosis,"Neurosis. Also known as: Neurosis, Neurosis NOS, Neurotic disorders",960
637,neurotoxicity,"Neurotoxicity. Also known as: Neurotic toxicity, Neurotoxicity, Neurotoxicity NOS",23
638,neutropenia,"Neutropenia. Also known as: Neutropenia, Neutropenia aggravated, Chronic neutropenia",360
639,neutropenic sepsis,Neutropenic sepsis. Also known as: Neutropenic sepsis,543
640,neutrophil count decreased,"Neutrophil count decreased. Also known as: Blood neutrophil count decreased, Neutrophil count decreased, Neutrophil count low",56
641,night blindness,"Night blindness. Also known as: Acquired night blindness, Blindness night, Decreased night vision",733
642,night sweats,"Night sweats. Also known as: Night sweat, Night sweats, Nocturnal perspiration",988
643,nightmare,"Nightmare. Also known as: Bad dreams, Brief nightmare, Dream anxiety disorder",893
644,nocturia,"Nocturia. Also known as: Nocturia, Nocturia aggravated, Nocturnal frequency",438
645,nodal arrhythmia,"Nodal arrhythmia. Also known as: Arrhythmia nodal, Arrhythmia nodal (NOS), Nodal arrhythmia",569
646,nodule,"Nodule. Also known as: Nodule on finger, Nodule on extremity, Nodule",61
647,non-cardiac chest pain,"Non-cardiac chest pain. Also known as: Chest pain (non-cardiac), Non-cardiac chest pain",255
648,non-hodgkin's lymphoma,"Non-Hodgkin's lymphoma. Also known as: Diffuse lymphoma, Intermediate grade lymphoma, Low grade lymphoma",311
649,nuchal rigidity,"Nuchal rigidity. Also known as: Neck rigid, Neck rigidity, Rigidity neck",631
650,nystagmus,"Nystagmus. Also known as: Dissociated nystagmus, Latent nystagmus, Nystagmus",302
651,ocular discomfort,"Ocular discomfort. Also known as: Discomfort intraocular, Visual discomfort, Ocular discomfort",434
652,ocular hyperaemia,"Ocular hyperaemia. Also known as: Bloodshot eye, Eye blood shot, Eye red",536
653,oculogyric crisis,"Oculogyric crisis. Also known as: Crisis oculogyric, Dyskinesia oculomotor, Ocular lateral crisis",568
654,odynophagia,"Odynophagia. Also known as: Odynophagia, Swallowing painful",263
655,oedema,"Oedema. Also known as: Edema, Edema (NOS), Edema NOS",330
656,oedema peripheral,"Oedema peripheral. Also known as: Ankle edema, Ankle oedema, Edema arms",907
657,oesophageal spasm,"Oesophageal spasm. Also known as: Esophageal spasm, Esophagospasm, Oesophageal spasm",714
658,oesophageal stenosis,"Oesophageal stenosis. Also known as: Esophageal stenosis, Esophageal stricture, Oesophageal stenosis",459
659,oesophageal ulcer,"Oesophageal ulcer. Also known as: Esophageal ulcer, Esophagus ulceration, Oesophageal ulcer",482
660,oesophagitis,"Oesophagitis. Also known as: Esophagitis, Esophagitis aggravated, Esophagitis, unspecified",527
661,oliguria,"Oliguria. Also known as: Antidiuresis, Oliguria, Oliguria transient",593
662,onychomycosis,"Onychomycosis. Also known as: Fungal infection of nail, Nail fungal infection NOS, Onychomycosis",196
663,opportunistic infection,"Opportunistic infection. Also known as: Opportunistic infection, Opportunistic Infections, Infection, Opportunistic",79
664,optic atrophy,"Optic atrophy. Also known as: Atrophy optic, Atrophy optic nerve, Optic atrophy",138
665,optic neuritis,"Optic neuritis. Also known as: Bilateral optic neuritis, Neuritis bulbar, Neuritis optic",639
666,oral candidiasis,"Oral candidiasis. Also known as: Candida of mouth, Candida stomatitis, Candidiasis of mouth",574
667,oral herpes,"Oral herpes. Also known as: Cold sore (herpetic), Cold sores, Fever sore",909
668,oral pain,"Oral pain. Also known as: Mouth pain, Oral angular pain, Oral mucosa pain",317
669,orchitis noninfective,"Orchitis noninfective. Also known as: Orchitis noninfective, Testicular inflammation",91
670,orgasm abnormal,"Orgasm abnormal. Also known as: Orgasm abnormal, Delayed orgasm, Painful orgasm",757
671,oropharyngeal discomfort,"Oropharyngeal discomfort. Also known as: Pharynx discomfort, Pharynx ill sensation of, Pharynx strange sensation of",740
672,oropharyngeal pain,"Oropharyngeal pain. Also known as: Anginal symptom (throat not cardiac), Dry and sore throat, Epipharyngopynia",673
673,orthostatic hypotension,"Orthostatic hypotension. Also known as: Hypotension orthostatic, Hypotension orthostatic asymptomatic, Hypotension orthostatic symptomatic",712
674,osteoarthritis,"Osteoarthritis. Also known as: Ankle osteoarthritis, Arthrosis, Arthrosis multiple",97
675,osteomyelitis,"Osteomyelitis. Also known as: Bone infection NOS, Hip osteomyelitis, Orbital osteomyelitis",580
676,osteonecrosis,"Osteonecrosis. Also known as: Aseptic necrosis, Aseptic necrosis bone, Aseptic necrosis of bone",968
677,osteoporosis,"Osteoporosis. Also known as: Bone fragile, Disuse osteoporosis, Idiopathic osteoporosis",508
678,otitis externa,"Otitis externa. Also known as: Acute infection of pinna, Acute swimmers' ear, Bilateral otitis externa",278
679,otitis media,"Otitis media. Also known as: Bilateral otitis media, Middle ear infection, Non-suppurative otitis media",497
680,ototoxicity,"Ototoxicity. Also known as: Ototoxicity, Toxic labyrinthitis, Vestibular toxicity",439
681,ovarian cyst,"Ovarian cyst. Also known as: Benign ovarian cyst, Corpus luteum cyst, Corpus luteum cyst or haematoma",416
682,ovarian disorder,"Ovarian disorder. Also known as: Disorder ovarian, Gonadopathy NOS female, Ovarian disorder",526
683,pain,"Pain. Also known as: Ache, Ache NOS, Burn lesion pain transient aggravation of",365
684,pain in extremity,"Pain in extremity. Also known as: Aches & pains in legs, Aching in limb, Aching pain in hands, forearms, elbows",581
685,pain in jaw,"Pain in jaw. Also known as: Jaw bone pain, Jaw pain, Pain in jaw",396
686,pain of skin,"Pain of skin. Also known as: Pain of skin, Scalp tenderness, Scalp pain",96
687,pallor,"Pallor. Also known as: Blanching of skin, Complexion ill, Looked pale",855
688,palpitations,"Palpitations. Also known as: Heart pounding, Heart throbbing, Palpitation",299
689,pancreatitis,"Pancreatitis. Also known as: Pancreatitis, Pancreatitis NOS, Pancreatitis steroid-induced",284
690,pancreatitis acute,"Pancreatitis acute. Also known as: Acute pancreatitis, Pancreatitis acute, Pancreatitis acute on chronic",686
691,pancytopenia,"Pancytopenia. Also known as: Pancytopenia, Secondary pancytopenia, Pancytopenia aggravated",465
692,panic attack,"Panic attack. Also known as: Panic attack, Panic attacks, Panic Disorder",957
693,panic reaction,"Panic reaction. Also known as: Alarm, Panic reaction, Reaction panic",57
694,panophthalmitis,"Panophthalmitis. Also known as: Ophthalmitis, Panophthalmitis, Panophthalmitides",11
695,papilloedema,"Papilloedema. Also known as: Disc congestion in ocular fundus, Disc oedema in ocular fundus, Disc redness in ocular fundus",601
696,paraesthesia,"Paraesthesia. Also known as: Abnormal touch sensation, Acroparaesthesia, Disturbance of skin sensation",80
697,paraesthesia oral,"Paraesthesia oral. Also known as: Circumoral paresthesia, Mouth paresthesia, Paraesthesia circumoral",481
698,paralysis,"Paralysis. Also known as: Flaccid paralysis, Neuroparalysis, Other paralytic syndromes",467
699,paranoia,"Paranoia. Also known as: Acute paranoid reaction, Other specified paranoid states, Paranoia",616
700,paresis,"Paresis. Also known as: Paresis, Paresis in arms, Spastic paresis",663
701,parkinsonism,"Parkinsonism. Also known as: Drug-induced parkinsonism, Parkinson's syndrome, Parkinsonism",373
702,parosmia,"Parosmia. Also known as: Altered smell sensation, Disturbances of sensation of smell and taste, Disturbances of smell and taste",195
703,pelvic pain,"Pelvic pain. Also known as: Pain pelvic, Pelvic pain, Pelvic pain NOS",461
704,penis disorder,"Penis disorder. Also known as: Disorder penis, Disorders of penis, Other specified disorder of penis",566
705,peptic ulcer,"Peptic ulcer. Also known as: Acute peptic ulcer of unspecified site without mention of haemorrhage and perforation, Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, without mentio",103
706,pericardial effusion,"Pericardial effusion. Also known as: Effusion pericardial, Effusion pericardial bloody, Pericardial effusion",808
707,pericarditis,"Pericarditis. Also known as: Acute idiopathic pericarditis, Acute pericarditis, Acute pericarditis in diseases classified elsewhere",424
708,perineal pain,"Perineal pain. Also known as: Perineal pain female, Perineal pain male, Perineal pain NOS",336
709,periodontitis,"Periodontitis. Also known as: Acute apical periodontitis of pulpal origin, Acute periodontitis, Chronic apical periodontitis",14
710,periorbital oedema,"Periorbital oedema. Also known as: Edema periorbital, Oedema periorbital, Periorbital oedema",660
711,peripheral coldness,"Peripheral coldness. Also known as: Cold extremities, Cold feet, Cold hands",66
712,peripheral ischaemia,"Peripheral ischaemia. Also known as: Ischaemia peripheral, Ischaemic feet, Ischaemic foot",242
713,peripheral motor neuropathy,"Peripheral motor neuropathy. Also known as: Motor peripheral neuropathy, Neuritis motor, Peripheral motor neuropathy",867
714,peripheral sensory neuropathy,"Peripheral sensory neuropathy. Also known as: Neuritis sensory, Peripheral sensory neuropathy, Sensory peripheral neuropathies",346
715,peripheral vascular disorder,"Peripheral vascular disorder. Also known as: Circulatory disorder peripheral, Disorder peripheral vascular, Disorder vascular peripheral",297
716,peritonitis,"Peritonitis. Also known as: Acute appendicitis with generalized peritonitis, Acute or unspecified pelvic peritonitis, female, Other chronic pelvic peritonitis, female",553
717,personality disorder,"Personality disorder. Also known as: Adaptability diminished, Aggressive personality, Asthenic personality disorder",239
718,petechiae,"Petechiae. Also known as: Petechia, Petechiae, Petechial rash",905
719,pharyngeal oedema,"Pharyngeal oedema. Also known as: Edema of pharynx or nasopharynx, Edema pharynx, Oedema pharynx",743
720,pharyngitis,"Pharyngitis. Also known as: Acute pharyngitis, Chronic pharyngitis, Chronic pharyngitis and nasopharyngitis",110
721,pharyngitis streptococcal,"Pharyngitis streptococcal. Also known as: Pharyngitis streptococcal, Streptococcal pharyngitis, Streptococcal sore throat",407
722,phlebitis,"Phlebitis. Also known as: Oth phlebitis and thrombosis complicating pregnancy and the puerperium, unspec as to eoc, Other antepartum phlebitis and thrombosis, Other phlebitis and thrombosis in pregnancy and the puerperium",446
723,photophobia,"Photophobia. Also known as: Exacerbation of photophobia, Eyes sensitive to sunlight, Photophobia",318
724,photopsia,"Photopsia. Also known as: Flash vision, Flashing lights, Flashing vision",685
725,photosensitivity reaction,"Photosensitivity reaction. Also known as: Contact dermatitis and other eczema due to solar radiation, Dermatitis of exposed site, Dermatitis photosensitive",922
726,pigmentation disorder,"Pigmentation disorder. Also known as: Abnormal pigment, Abnormal pigmentation, Mottled pigmentation",674
727,plasmacytoma,"Plasmacytoma. Also known as: Neoplasm of uncertain behavior of plasma cells, Neoplasm of uncertain behaviour of plasma cells, Plasma cell tumor",572
728,plasma cell myeloma,"Plasma cell myeloma. Also known as: IGA myeloma, IGD myeloma, IGE myeloma",579
729,platelet count decreased,"Platelet count decreased. Also known as: Low platelets, Platelet count decreased, Platelet count low",340
730,pleural effusion,"Pleural effusion. Also known as: Effusion pleural, Intrapleural fluid retention of, Other specified forms of pleural effusion, except tuberculous",375
731,pleurisy,"Pleurisy. Also known as: Diaphragmatic pleurisy, Pleurisy, Pleurisy (excl TB)",818
732,pleuritic pain,"Pleuritic pain. Also known as: Pain pleural, Pleural pain, Pleuritic pain",122
733,pneumonia,"Pneumonia. Also known as: Bronchial pneumonia, Bronchopneumonia, Bronchopneumonia NOS",117
734,pneumonia aspiration,"Pneumonia aspiration. Also known as: Aspiration pneumonia, Inhalation pneumonia, Inhalational pneumonia",486
735,pneumothorax,"Pneumothorax. Also known as: Collapse of lung, Pneumothorax, Pneumothorax (excl traumatic)",573
736,pollakiuria,"Pollakiuria. Also known as: Frequency of micturition, Frequency urinary, Increased urinary frequency",207
737,polycythaemia,"Polycythaemia. Also known as: Erythrocytosis, Physiological polycythaemia, Polycythaemia",27
738,polydipsia,"Polydipsia. Also known as: Excessive drinking, Polydipsia, Polydipsia (nocturnal)",280
739,polyneuropathy,"Polyneuropathy. Also known as: Polyneuritis, Polyneuropathy, Polyneuropathy due to drugs",775
740,polyuria,"Polyuria. Also known as: Diuresis, Diuresis excessive, Frequency of urination and polyuria",249
741,post procedural haemorrhage,"Post procedural haemorrhage. Also known as: Bleeding of suture site, Bleeding postoperative, Haemorrhage or haematoma complicating a procedure, not elsewhere classified",880
742,premenstrual syndrome,"Premenstrual syndrome. Also known as: PMS, PMT, Pre-menstrual tension syndrome",185
743,presyncope,"Presyncope. Also known as: Lipothymia, Pre-syncope, Presyncope",474
744,priapism,"Priapism. Also known as: Priapism, Priapism aggravated, Ischaemic priapism",463
745,procedural pain,"Procedural pain. Also known as: Post-operative hip pain, Post-operative pain, Post procedural pain",713
746,proctalgia,"Proctalgia. Also known as: Anal or rectal pain, Anal pain, Anus pain",985
747,proctitis,"Proctitis. Also known as: Acute proctitis, Chronic proctitis, Periproctitis",7
748,productive cough,"Productive cough. Also known as: Productive cough, Sputum, Expectoration",969
749,prostate cancer,"Prostate cancer. Also known as: Adenocarcinoma of prostate, Ca prostate, Cancer of prostate",243
750,prostatic disorder,"Prostatic disorder. Also known as: Other disorders of prostate, Other specified disorders of prostate, Prostatic disorder",859
751,prostatitis,"Prostatitis. Also known as: Acute prostatitis, Chronic prostatitis, Inflammatory diseases of prostate",780
752,protein total decreased,"Protein total decreased. Also known as: Protein total decreased, Proteins serum plasma low, Serum protein decreased",37
753,protein urine present,"Protein urine present. Also known as: Protein urine positive, Urinary protein increased, Urinary protein positive",491
754,proteinuria,"Proteinuria. Also known as: Proteinuria, Proteinuria present, Proteinuria aggravated",970
755,prothrombin level decreased,"Prothrombin level decreased. Also known as: Coagulation factor II level decreased, Prothrombin activity decreased, Prothrombin consumption increased",99
756,prothrombin level increased,"Prothrombin level increased. Also known as: Coagulation factor II level increased, Prothrombin activity increased, Prothrombin increased",701
757,prurigo,Prurigo. Also known as: Prurigo,522
758,pruritus,"Pruritus. Also known as: Extremities itchy sensation of, General pruritus, Generalised itching",972
759,pruritus generalised,pruritus generalised,911
760,pruritus genital,"Pruritus genital. Also known as: Genital itching, Genital itching female, Genital itching male",245
761,pseudolymphoma,"Pseudolymphoma. Also known as: Benign lymphoma, Hodgkin's-like, Hodgkins-like",541
762,pseudomembranous colitis,"Pseudomembranous colitis. Also known as: Colitis pseudomembranous, Enteritis pseudomembranous, Enterocolitis pseudomembranous",268
763,psoriasis,"Psoriasis. Also known as: Exacerbation of psoriasis, Flexural psoriasis, Other psoriasis",776
764,psychomotor retardation,Psychomotor retardation. Also known as: Psychomotor retardation,796
765,psychotic disorder,"Psychotic disorder. Also known as: Other nonorganic psychoses, Paranoid psychosis, Psychogenic paranoid psychosis",269
766,pulmonary congestion,"Pulmonary congestion. Also known as: Congestion pulmonary, Lung congestion, Pulmonary configuration increased",359
767,pulmonary embolism,"Pulmonary embolism. Also known as: Acute massive pulmonary embolism, Acute P.E., Chronic P.E.",509
768,pulmonary fibrosis,"Pulmonary fibrosis. Also known as: Fibrosis lung, Fibrosis pulmonary, Lung fibrosis",895
