drugbank_id,drug_name,description,moa
DB09364,Procaine merethoxylline,,
DB09366,Propyliodone,Radiopaque medium usually in oil; used in bronchography.,
DB09369,Polyestradiol phosphate,Polymeric phosphoric acid ester of estradiol.,
DB09370,Sodium phosphate P 32,,
DB09371,Norethynodrel,"A synthetic progestational hormone with actions and uses similar to those of PROGESTERONE. It has been used in the treatment of functional uterine bleeding and endometriosis. As a contraceptive, it has usually been administered in combination with MESTRANOL.",
DB09372,Tannic acid,"Tannic acid is a polyphenolic compound. It is a type of the commercially available tannins. It acts as a weak acid. Tannic acid is found in the nutgalls formed by insects on twigs of certain oak trees (Quercus infectoria and other Quercus species). It is removed and used as medicine. In the old days it was used as antidote against different poisons. 
Nowadays, tannic acid is applied topically for the treatment of cold sores, diaper rash, fever blisters and poison ivy. Tannic acid is also taken by mouth and applied directly for bleeding, chronic diarrhea, dysentery, bloody urine, painful joints, persistent coughs, and cancer.","Pharmaceutical grade tannic acid is generally considered to be pentadigalloylglucose. It has an astringent effect. When used internally, it dehydrates tissues when cause reduction in secretions. Externally, it works through formation of protective layer of harder and constricted cells. Tannic acid is thought to exert antiviral and antibacterial effects."
DB09373,Trolamine polypeptide oleate condensate,"Various ear diseases and infections are treated with eardrops containing triethanolamine polypeptide oleate-condensate, such as Cerumenex in the United States and Canada.",
DB09374,Indocyanine green acid form,"Indocyanine Green is a water soluble, tricarbocyanine dye with a peak spectral absorption at 800 nm. The chemical name for Indocyanine Green is 1 H-Benz[e]indolium, 2-[7-[1,3-dihydro-1,1-dimethyl-3-(4-sulfobutyl)-2H-benz[e] indol-2-ylidene]-1,3,5-heptatrienyl]-1,1-dimethyl-3-(4-sulfobutyl)-,hydroxide, inner salt, sodium salt. Indocyanine Green for Injection USP has a pH of approximately 6.5 when reconstituted. Each vial of Indocyanine Green for Injection USP contains 25 mg of Indocyanine Green as a sterile lyophilized powder with no more than 5% sodium iodide.","Indocyanine Green for Injection USP undergoes no significant extrahepatic or enterohepatic circulation; simultaneous arterial and venous blood estimations have shown negligible renal, peripheral, lung or cerebro-spinal uptake of the dye. Indocyanine Green for Injection USP is taken up from the plasma almost exclusively by the hepatic parenchymal cells and is secreted entirely into the bile. After biliary obstruction, the dye appears in the hepatic lymph, independently of the bile, suggesting that the biliary mucosa is sufficiently intact to prevent diffusion of the dye, though allowing diffusion of bilirubin. These characteristics make Indocyanine Green for Injection USP a helpful index of hepatic function."
DB09375,Chymotrypsin,"Chymotrypsin (EC 3.4.21.1) is a digestive enzyme that promotes proteolysis, or the breakdown of proteins and polypeptides. It is a serine protease synthesized in the pancreas and is a vital component in the pancreatic juice. Like most proteolytic enzymes, chymotrypsin is activated from its inactive zymogen precursor, chymotrypsinogen, in presence of [DB11237]. Chymotrypsin is the most abundant pancreatic proteases that represent up to 10-20% of the total protein synthesized by the exocrine pancreas [A32637]. Chymotrypsin contains both the catalytic triad and oxyanion hole, and the tertiary structure of chymotrypsin is similar to [DB11237] [A32642].","Chymotrypsin is synthesized by pancreatic acinar cells as an inactive precursor, chymotrypsinogen, that is secreted to the duodenum and activated via trypsin-induced cleavage.  It also induces its own activation by cleaving essential amino acid residues in the oxyanion hole to produce α-Chymotrypsin, which is a more stable form than π-Chymotrypsin. Residues His-57, Asp-102, and Ser-195 form the catalytic triad while residues 189–195, 214–220, and 225–228 form the primary substrate-binding pocket called S1 binding pocket [A32642]. Residue 189 in the polar serine residue that lies at the bottom of the S1 binding pocket [A32642]. Chymotrypsin favors aromatic residues like phenylalanine, tyrosine, and tryptophan [A32642] but may hydrolyze other bonds in peptides at slower rates."
DB09376,Lapyrium,"Lapyrium is a quaternary ammonium cation used as a surfactant, antistatic agent, and biocide in various cosmetic products [A19426]. It is commonly found formulated as lapyrium chloride.","As a QAC, lapyrium likely acts by associating with the negatively charged cell membrane of bacterial cells [A19427]. This is followed by the insertion of the compound's side chain and subsequent disruption of the cell membrane. Ultimately this disruption leads to the leakage of cellular contents and cell lysis. QACs are typically more effective against Gram-positive bacteria as they only have one cell membrane."
DB09377,Undecoylium chloride iodine complex,,
DB09378,Fluprednisolone,A synthetic glucocorticoid with anti-inflammatory properties.,
DB09379,Sutilain,"Sutilain is a member of the keratase family which includes agents such as papain. It is able to dissolve the intercellular matrix which helps with desquamation. Sutilain contains proteolytic enzymes derived from _Bacillus subtilis_ and it is available as a cream-colored odorless powder. One gram of sutilain powder contains 250,000 casein units of proteolytic activity.[T169] Sutilain was developed by Abbott and FDA approved on June 12, 1969. It is currently discontinued.[L2368]",Sutilain is a proteolytic enzyme that dissolves necrotic tissue and hyaluronidase.[A32601]
DB09380,Sodium chromate Cr-51,,
DB09381,Esterified estrogens,"Esterified estrogens contain a mixture of estrogenic substances; the principle component is estrone. Preparations contain 75% to 85% sodium estrone sulfate and 6% to 15% sodium equilin sulfate such that the total is not <90%. Esterified estrogens are a man-made mixture of estrogens that are used to treat symptoms of menopause such as hot flashes, vaginal dryness, vaginal burning or irritation, or other hormonal changes in the vagina. It is being also for the prevention and treatment of osteoporosis.","Estrogens modulate the pituitary secretion of gonadotropins, luteinizing hormone, and follicle-stimulating hormone through a negative feedback system; estrogen replacement reduces elevated levels of these hormones."
DB09382,Iodohippurate sodium I-131,,
DB09383,Meprednisone,,
DB09385,Cyanocobalamin Co-57,,
DB09387,Cyanocobalamin Co-60,"Cyanocobalamin Co-60 is an analog of Vitamin B12 labeled with Co60. Cyanocobalamin Co-60 was used for the diagnosis of pernicious anemia, but now it is withdrawn from the market in the US for unknown reasons.",
DB09388,Rose bengal I-131,,
DB09389,Norgestrel,"Norgestrel is synthetic steroidal progestin that is used in combination with ethinyl estradiol for oral contraception. Norgestrel is composed of a racemic mixture of two stereoisomers, dextronorgestrel and levonorgestrel.  However, only the levorotary enantiomer ([levonorgestrel]) is biologically active.","Norgestrel (and more specifically the active stereoisomer levonorgestrel) binds to the progesterone and estrogen receptors within the female reproductive tract, the mammary gland, the hypothalamus, and the pituitary. Once bound to the receptor, progestins like levonorgestrel will slow the frequency of release of gonadotropin releasing hormone (GnRH) from the hypothalamus and blunt the pre-ovulatory LH (luteinizing hormone) surge. Loss of the LH surge inhibits ovulation and thereby prevents pregnancy."
DB09393,Amino acids,Mixture of amino acids ; used for parenteral nutrition in infants.,
DB09394,Phosphoric acid,"Phosphoric Acid is a colorless, odorless phosphorus-containing inorganic acid. Phosphoric acid is a sequestering agent which binds many divalent cations, including Fe++, Cu++, Ca++, and Mg++.",Phosphate supplementation of the diet of rodents has been shown to lead to reduction in the incidence of dental caries and different phosphates have different powers in reducing the cariogenic potential of the carbohydrates in a diet. Phosphate supplements seem to exert their cariostatic effect on the tooth surface either directly during eating or by excretion in the saliva.
DB09395,Sodium acetate,"Sodium Acetate is chemically designated CH3COONa, a hygroscopic powder very soluble in water. Sodium acetate could be used as additives in food, industry, concrete manufacture, heating pads and in buffer solutions. Medically, sodium acetate is important component as an electrolyte replenisher when given intravenously. It is mainly indicated to correct sodium levels in hyponatremic patients. It can be used also in metabolic acidosis and for urine alkalinization.","It works as a source of sodium ions especially in cases of hyponatremic patients. Sodium has a primary role in regulating extracellular fluid volume. It controls water distribution, fluid and electrolyte balance and the osmotic pressure of body fluids. Sodium is also involved in nerve conduction, muscle contraction, acid-base balance and cell nutrient uptake."
DB09397,Technetium Tc-99m sulfur colloid,"Technetium 99m sulfur colloid is a radiopharmaceutical diagnostic agent used in the evaluation of various conditions including lymph node metastases in breast cancer, detection of shunt patency, imaging of reticuloendothelial cells for assessment of liver function, and studies of esophageal transit and gastroesophageal reflux.  Following injection or oral administration, single photon emission computer tomography (SPECT) imaging is performed using a gamma camera to detect technetium-99m decay. This is possible as Technetium-99m decays by isomeric transition to technetium-99 through the release of a gamma ray. Depending on site of administration and intended usage, Technetium 99m sulfur colloid enters the capillaries and is transported to the lymph nodes (subcutaneous injection), mixes with peritoneal fluid (intraperitoneal injection), is taken up by reticulocytes (intravenous injection), or enters the gastroesphageal tract (oral administration).","Following injection or oral administration, single photon emission computer tomography (SPECT) imaging is performed using a gamma camera to detect technetium-99m decay. This is possible as Technetium-99m decays by isomeric transition to technetium-99 through the release of a gamma ray."
DB09398,Fluoride ion F-18,"Sodium Fluoride F 18 Injection is a positron emitting radiopharmaceutical, no-carrier added. It contains radioactive fluoride F 18 that is used for diagnostic purposes in conjunction with positron emission tomography (PET) imaging and is administered by intravenous injection. Its primary indication is for bone imaging. Increased deposition around joints can occur in arthritis and following trauma and increased deposition in bone has been noted around fracture sites, in osteomyelitis, fibrous dysplasia, spondylitis tuberculosa, and Paget's disease. No adverse reactions have been reported.",18F-fluoride is a highly sensitive bone-seeking PET tracer used for detection of skeletal abnormalities. The uptake mechanism of 18F-fluoride has  better pharmacokinetic characteristics (compared to other elements) including faster blood clearance and 2-fold higher uptake in bone. Uptake of 18F-fluoride reflects blood flow and bone remodeling.
DB09400,Selenomethionine Se-75,,
DB09401,Isosorbide,"Isosorbide was previously available in an oral formulation for the reduction of intraocular pressure. It was approved by the FDA in 1980, but has since been discontinued. Currently, isosorbide is an organic nitrate currently available in the [isosorbide mononitrate] and [isosorbide dinitrate] forms, and is used for the prevention of angina. Refer to these drug entries for more information.","Isosorbide causes vascular relaxation, reducing systolic ophthalmic artery pressure (SOAP), systolic ocular perfusion pressure (SOPP).[A234869]"
DB09403,Iocetamic acid,Iocetamic acid is a diagnostic aid (radiopaque medium),
DB09406,Chlormerodrin Hg-197,"Chlormerodrin Hg-197 is a radiolabelled form of chlormerodrin, an organomercury compound that was previously used as a diuretic. Its radiolabelled form was used as diagnostics in brain scans.",
DB09407,Magnesium chloride,Magnesium chloride salts are highly soluble in water and the hydrated form of magnesium chloride can be extracted from brine or sea water.,"Mechanism of action of magnesium chloride studied in 10 adult volunteers. Results suggested magnesium ion in  duodenum is relatively weak stimulus to pancreas and gall bladder. It is weak stimulant to cholecystokinin release and inhibits net jejunal water absorption.
The oral administration of a single 800 mg dose of magnesium chloride in healthy volunteers resulted in a diminished rate of intraluminal lipid and protein digestion. The most pronounced effect of magnesium chloride, however, was a decreased gastric emptying rate of both test meals. After correction for gastric emptying, no differences were noted in intraluminal lipid or protein digestion. Therefore, the lower lipid levels noted after magnesium supplementation are unlikely to be the result of altered lipid assimilation. Magnesium chloride slows gastric emptying but does not influence lipid digestion."
DB09409,Magnesium acetate tetrahydrate,"Magnesium acetate tetrahydrate is a hydrated form of anhydrous magnesium acetate salt with the chemical formula of Mg(CH3COO)2 • 4H2O. As a salt form of magnesium, magnesium acetate is one of the bioavailable forms of magnesium and forms a very water soluble compound. Magnesium is an essential element and second most abundant cation in the body that plays a key role in maintaining normal cellular function such as production of ATP and efficient enzyme activity. Magnesium acetate tetrahydrate can be used as an electrolyte supplementation or a reagent in molecular biology experiments.","Magnesium is an essential element that regulates vascular function and blood pressure. Magnesium ions electrostatically stabilize the adenylyl cyclase complex and enhance its catalytic actions and production of cAMP. They also regulate the level of phosphorylation in various pathways by the formation of a transition state of phosphoryl transfer reaction by protein kinases and stabilize ATP binding to protein kinases via electrostatic interactions [A19416]. Many metabolic enzymes involved in glycolysis and Krebs cycle are magnesium-dependent. Studies show that magnesium ions decrease blood pressure and that magnesium deficiency is often associated with vasoconstriction and increased blood pressure [A19412]. Magnesium ions also regulate other ions entering and exiting the cell membrane by acting as a ligand in N-methyl-D-aspartate receptor.

Magnesium-containing laxatives cause diarrhea through water retention and increased fecal mass, which stimulates peristalsis. When used as an electrolyte supplement, magnesium acetate tetrahydrate induces diuresis and a metabolic alkalinizing effect."
DB09411,Technetium Tc-99m etidronate,,
DB09413,Monopotassium phosphate,"Monopotassium phosphate, MKP, (also potassium dihydrogenphosphate, KDP, or monobasic potassium phosphate), KH2PO4, is a soluble salt of potassium and the dihydrogen phosphate ion.  It is a source of phosphorus and potassium as well as a buffering agent. It can be used in fertilizer mixtures to reduce escape of ammonia by keeping pH low.","hosphorus has a number of important functions in the biochemistry of the body. The bulk of the body's phosphorus is located in the bones, where it plays a key role in osteoblastic and osteoclastic activities. Enzymatically catalyzed phosphate-transfer reactions are numerous and vital in the metabolism of carbohydrate, lipid and protein, and a proper concentration of the anion is of primary importance in assuring an orderly biochemical sequence. ln addition, phosphorus plays an important role in modifying steady-state tissue concentrations of calcium. Phosphate ions are important buffers of the intracellular fluid, and also play a primary role in the renal excretion of the hydrogen ion. Oral administration of inorganic phosphates increases serum phosphate levels. Phosphates lower urinary calcium levels in idiopathic hypercalciuria."
DB09414,Dipotassium phosphate,Dipotassium phosphate (K2HPO4) is a highly water-soluble salt often used as a fertilizer and food additive as a source of phosphorus and potassium as well as a buffering agent.,"Once phosphate gains access to the body fluids and tissues, it exerts little pharmacological effect. If the ion is introduced into the intestine, the absorbed phosphate is rapidly excreted. If large amounts are given by this route, much of it may escape absorption. Because this property leads to a cathartic action, phosphate salts are employed as mild laxatives."
DB09415,Meglumine,,
DB09418,Potassium perchlorate,"Potassium perchlorate is an inorganic salt with the chemical formula KClO4. It is a strong oxidizer with the lowest solubility of the alkali metal perchlorates. Potassium is most commonly used in flares and automobile airbags [A32609]. The use of potassium perchlorate as a component in sealing gaskets for food containers has been revoked by the FDA following the use being abandoned by the industry [L2365]. Potassium perchlorate acts as a competitive inhibitor of iodine uptake by the thyroid gland and attenuates the production of the thyroid hormone. Thus the use of potassium perchlorate has been extensive for hyperthyroidism during the last 50 years, particularly in the late 1950s and early 1960s [A32609]. The therapeutic use of potassium perchlorate in thyroid disorders has been ceased due to a high risk for developing aplastic anemia and nephrotic syndrome [L2364].","Thyroxine (T4) and tri-iodothyronine (T3) are major thyroid hormones, or iodothyronines, that are synthesized and released from the thyroid. Iodine plays an essential role in the synthesis of these hormones. Via the sodium-iodide symporter (NIS), which is a protein located on the basolateral membrane of the thyroid follicular cell, iodine is transported from the blood into the thyroid gland where it is oxidized to  [A32611]. Perchlorate (ClO4−) is the dissociated anion of potassium perchlorate that exerts an inhibitory effect on iodide uptake by the thyroid gland in the cellular level [A32611]. Due to its similarity in ionic size and charge to iodide, perchlorate inhibits the sodium-iodide symporter (NIS) without being translocated into the thyroid follicular cell [A32611]. The inhibition constant, Ki, is estimated as 0.4 µmol to 24 µmol. At therapeutic dosage levels this competitive inhibition decreases the entrance of iodide into the thyroid, resulting in less available iodide for hormone synthesis and, therefore, a decrease in T3 and T4 synthesis [A32611]. When ambient iodine intake is low or iodide uptake is sufficiently inhibited, perchlorate is capable in inducing goiter and hypothyroidism from inhibited iodide uptake [A32611]. At high doses of potassium perchlorate, reduced T3 and T4 levels may be accompanied by increased TSH levels via a negative feedback loop, affecting the thyroid, pituitary and hypothalamus [L2370]."
DB09419,Xylose,"Xylose is a monosaccharide of the aldopentose type consisted of five carbon atoms and an aldehyde functional group. Xylose is a sugar isolated from wood. D-Xylose is a sugar widely used as a diabetic sweetener in food and beverage. Xylose has also been used as a diagnostic agent to observe malabsorption. Reduction of xylose by catalytic hydrogenation produces the common food additive sweetener substitute xylitol [DB11195].

The dextrorotary form of xylose, D-xylose, refers usually to the endogenously occurring form of the sugar in living things. The levorotary form, L-xylose, can refer to the form that is synthesized. Nevertheless, xylose by itself may not necessarily serve many purposes immediately - but its metabolism results in a variety of substrates that can serve important nutritional and biological purposes.","Xylose is metabolized into various chemical intermediates that can play critical functions in the biological homeostasis of the human body. Via the oxido-reductase metabolism pathway of xylose in eukaryotic organisms, xylose is ultimately catabolized into (D)-xylulose-5-phosphate, which functions as an intermediate in the pentose phosphate pathway [A32666]. Within the pentose phosphate pathway, NADPH, pentose 5-carbon sugars, and ribose 5-phosphate are generated as materials and precursors for the synthesis of nucleotides [A32666]. In particular, xylulose-5-phosphate can be used to directly generate glycerinaldehyde-3-phosphate in the pathway [A32666]. Other studies have also demonstrated that xylulose-5-phosphate may also play a role in gene expression, perhaps by promoting ChREBP transcription factor in the well-fed state [A32668]."
DB09420,Iodide I-123,"Iodide I-123 (as sodium Iodide I-123) is a radioactive isotope of iodine used in nuclear medicine for the diagnostic study of thyroid disease. Following oral administration, I-123 is absorbed through the gastrointestinal tract and is taken up by the thyroid gland. After incorporation, a gamma camera is used to detect the decay by electron capture to tellurium-123.

Iodine is commonly used in thyroid function diagnostic tests as this gland normally absorbs iodine through the diet for formation of the thyroid hormones triiodothyronine (T3) and its prohormone, thyroxine (T4). Radioactive I-123 in particular is effective for this use as its half-life of approximately 13.13 h (hours) is ideal for the 24-h (hour) iodine uptake test and it has a reduced radiation burden as compared to I-131.","Sodium Iodide I-123 is a radioactive isotope of iodine used in nuclear medicine for the diagnostic study of thyroid disease. Following oral administration, I-123 is absorbed through the gastrointestinal tract  and is taken up by the thyroid gland. After incorporation, a gamma camera is used to detect the decay by electron capture to tellurium-123. Iodine is commonly used in thyroid function diagnostic tests as this gland normally absorbs iodine through the diet for formation of the thyroid hormones triiodothyronine (T3) and its prohormone, thyroxine (T4)."
DB09421,Protirelin,"Protirelin is the pharmaceutically available synthetic analogue of the endogenous peptide thyrotropin-releasing hormone (TRH). It is a tri-peptide tropic hormone, released by the hypothalamus, that stimulates the release of Thyroid Stimulating Hormone (TSH) and prolactin from the anterior pituitary.  

Although not currently available in any FDA-approved product, protirelin is a component of the TRH Test where it is used to test the response of the anterior pituitary gland in conditions such as secondary hypothyroidism and acromegaly.",
DB09422,Soybean oil,"Derived from soybeans, soybean oil is a common vegetable oil and a source of polyunsaturated and saturated fatty acids. It is a complex mixture of triglycerides where per 100 g, soybean oil has 16 g of saturated fat, 23 g of monounsaturated fat, and 58 g of polyunsaturated fat. The major component fatty acids are linoleic (48% - 58%), oleic (17% - 30%), palmitic (9% -13%), linolenic (4% - 11%), and stearic (2.5% - 5.0%). It is used as a cooking oil and lipid emulsion for parenteral nutrition in clinical settings. Soybean oil-based lipid emulsion is the only FDA-approved lipid formulation for clinical use.","Fatty acids serve as an important substrate for energy production. The most common mechanism of action for energy production derived from fatty acid metabolism is beta oxidation. Fatty acids are also important for membrane structure and function, precursors for bioactive molecules (such as prostaglandins), and as regulators of gene expression. Soybean oil-based lipid emulsion may also cause an increase in heat production, decrease in respiratory quotient, and increase in oxygen consumption following its administration [L855]. Soybean oil contents prevent abnormally high triacylglycerol synthesis and its accumulation as lipid droplets in the liver by regulating hepatic lipogenesis and lipolysis. In vitro, soybean oil is shown to prevent downregulation of CYP2C2, CYP2C11 and CYP3A2 mRNA thus maintaining hepatic drug oxidation capabilities. Soybean oil is broken down into free fatty acids that activate PPAR-alpha, which regulate hepatic CYP4A1 that hydroxylate saturated and unsaturated fatty acids. Soybean oil is also shown to prevent up/downregulation of efflux transporters and maintain mRNA levels of hepatic antioxidant enzymes in vitro rat studies [A19591]."
DB09423,Technetium Tc-99m polyphosphate,,
DB09425,Indium In-111 pentetate,Indium In-111 pentetate disodium is a radioactive diagnostic indicated for use in radionuclide cisternography. Decay of In-111 by electron capture allows for detection with a gamma camera for visualization of the brain and spinal column.,Decay of In-111 by electron capture allows for detection with a gamma camera for visualization of the brain and spinal column.
DB09429,Albumin iodinated I-125 serum,I-125 iodinated albumin is a radiolabeled albumin-based diagnostic agent used in the determination of total blood and plasma volume.[L12780],
DB09430,Albumin iodinated I-131 serum,"Iodinated I-131 serum albumin is a radiopharmaceutical agent used for several diagnostic purposes, including the determination of body fluid volumes and the imaging of certain tissues.[L12783]",
DB09436,Technetium Tc-99m succimer,"Technetium Tc-99m (<sup>99m</sup>Tc) succimer, also known as technetium Tc-99m dimercaptosuccinic acid (DMSA),[A245643] is a radioactive diagnostic agent used to evaluate functional renal tissue and tubular function in patients with renal parenchymal disorders. It works by binding to the cortical region of the kidneys. Technetium Tc-99m succimer is used with gamma scintigraphy or single-photon emission computed tomography (SPECT).[L40558] The use of technetium Tc-99m succimer for the detection of kidney cortical defects was first approved by the FDA on February 23, 2022, under the market name NephroScan.[L40573]","Evaluating the quantity of functional renal tissue is essential in renal parenchymal disorders, as it assesses the patient's ability to maintain renal function.[A245673] Technetium Tc-99m succimer is used to image the renal cortices in conjunction with gamma scintigraphy or single-photon emission computed tomography (SPECT).[L40558] Technetium Tc-99m succimer is taken up by tubular cells within the renal cortex regardless of renal flow.[A245673] Technetium Tc-99m succimer binds to normal renal cortical tissue, distinguishing it from nonfunctioning dysplastic tissue, even in the presence of renal insufficiency.[L40558]"
DB09443,Krypton Kr 81m,,
DB09446,Safflower oil,"Safflower (_Carthamus tinctorius_ L) is a herbaceous plant in the Asteraceae family. Extracted from the seeds of safflowers, safflower oil is a rich source of various saturated fatty acids, monounsaturated fatty acid (oleic acid) or essential n-6 polyunsaturated fatty acid (PUFA) linoleic acid [A32677, A32679], depending on the flower type. Safflower oil with a higher content of polyunsaturated fatty acids is more commonly used as an edible oil. The constituents of safflower oil also include alpha-tocopherol, gamma-tocopherol, and mixed [DB11251] [A32692].  Safflower oil is approved for use as an indirect additive in food contact substances and is readily available as a food ingredient. Gamma linolenic acid (GLA) safflower oil is marketed as an over-the-counter dietary supplement.",Linoleic acid in safflower oil may decrease serum cholesterol levels by activating hepatic uptake and biliary excretion of serum cholesterol [A32678]. Tocopherol in safflower oil is a radical scavenger with antioxidant properties.
DB09447,Technetium Tc-99m albumin colloid,,
DB09448,Iodohippurate sodium I-123,,
DB09449,"Sodium phosphate, monobasic",Sodium phosphate is a saline laxative that is thought to work by increasing fluid in the small intestine. It usually results in a bowel movement after 30 minutes to 6 hours.,Sodium phosphate is thought to work by increasing the amount of solute present in the intestinal lumen thereby creating an osmotic gradient which draws water into the lumen [A19446].
DB09456,Insulin beef,Insulin beef has been discontinued in the US and Canada since 2017.[L10827],
DB09459,L-tartaric acid,"Tartaric acid is a white crystalline organic acid that occurs naturally in many plants, most notably in grapes.Tartaric is an alpha-hydroxy-carboxylic acid, is diprotic and aldaric in acid characteristics, and is a dihydroxyl derivative of succinic acid.",
DB09460,Sodium carbonate,"Sodium Carbonate is the disodium salt of carbonic acid with alkalinizing property. When dissolved in water, sodium carbonate forms carbonic acid and sodium hydroxide. As a strong base, sodium hydroxide neutralizes gastric acid thereby acting as an antacid.","Carbon dioxide from the tissues diffuses rapidly into red blood cells, where it is hydrated with  water to form carbonic acid. This reaction is accelerated by carbonic anhydrase, an enzyme present  in high concentrations in red blood cells. The carbonic acid formed dissociates into bicarbonate and  hydrogen ions. Most of the bicarbonate ions diffuse into the plasma. Since the ratio of H2CO3 to dissolved CO2 is constant at equilibrium, pH may be expressed in terms of bicarbonate ion  concentration and partial pressure of CO2 by means of the Henderson-Hasselbach equation:
pH = pk + log [HCO3-]/aPCO2"
DB09461,Xenon Xe-127,,
DB09462,Glycerin,A trihydroxy sugar alcohol that is an intermediate in carbohydrate and lipid metabolism.,"When administered rectally, glycerin exerts a hygroscopic and/or local irritant action, drawing water from the tissues into the feces and reflexively stimulating evacuation. 
Glycerin decreases intraocular pressure by creating an osmotic gradient between the blood and intraocular fluid, causing fluid to move out of the aqueous and vitreous humors into the bloodstream."
DB09472,Sodium sulfate,"Sodium Sulfate Anhydrous is the anhydrous, sodium salt form of sulfuric acid. Sodium sulfate anhydrous disassociates in water to provide sodium ions and sulfate ions. Sodium ion is the principal cation of the extracellular fluid and plays a large part in the therapy of fluid and electrolyte disturbances. Sodium sulfate anhydrous is an electrolyte replenisher and is used in isosmotic solutions so that administration does not disturb normal electrolyte balance and does not lead to absorption or excretion of water and ions.","MoviPrep produces a watery stool leading to cleansing of the colon. The osmotic activity of polyethylene glycol 3350, sodium sulfate, sodium chloride, potassium chloride, sodium ascorbate, and ascorbic acid, when taken with 1 liter of additional clear fluid, usually results in no net absorption or excretion of ions or water."
DB09473,Indium In-111 oxyquinoline,"Indium In 111 oxyquinoline (oxine) is a diagnostic radiopharmaceutical intended for radiolabeling of autologous leukocytes.  It is composed of a 3:1 saturated complex of In-111 isotope and oxyquinoline. Indium-111 decays by isomeric transition and electron capture to cadmium-111, emitting a gamma ray that can be detected with a gamma ray camera. It is therefore useful in nuclear medicine, and is used in the labeling of leukocytes for localization of processes to which leukocytes migrate, such as those associated with abscesses or other infections. The degree of accuracy may vary with labeling techniques and with the size, location and nature of the inflammatory process.

Following intravenous administration, the lipid-soluble complex is able to penetrate platelet cell membranes. Once inside, Indium detaches from the oxyquinoline complexes and becomes attached to cytoplasmic components.","Indium-111 decays by isomeric transition and electron capture to cadmium-111, emitting a gamma ray that can be detected with a gamma ray camera. Following intravenous administration, the lipid-soluble complex is able to penetrate platelet cell membranes. Once inside, Indium detaches from the oxyquinoline complexes and becomes attached to cytoplasmic components."
DB09477,Enalaprilat,"Enalaprilat is the active metabolite of the orally available pro-drug, [enalapril]. Used in the treatment of hypertension, enalapril is an ACE inhibitor that prevents Angiotensin Converting Enzyme (ACE) from transforming angiotensin I into angiotensin II. As angiotensin II is responsible for vasoconstriction and sodium reabsorption in the proximal tubule of the kidney, down-regulation of this protein results in reduced blood pressure and blood fluid volume. Enalaprilat was originally created to overcome the limitations of the first ACE inhibitor, captopril, which had numerous side effects and left a metallic taste in the mouth. Removal of the problematic thiol group from captopril resulted in enalaprilat, which was then modified further with an ester to create the orally available pro-drug enalapril.

Enalaprilat is poorly orally available and is therefore only available as an intravenous injection for the treatment of hypertension when oral therapy is not possible.","Enalaprilat is the active metabolite of the orally available pro-drug, enalapril. Used in the treatment of hypertension, enalapril is an ACE inhibitor that prevents Angiotensin Converting Enzyme (ACE) from transforming angiotensin I into angiotensin II. As angiotensin II is responsible for vasoconstriction and sodium reabsorption in the proximal tubule of the kidney, down-regulation of this protein results in reduced blood pressure and blood fluid volume"
DB09479,Rubidium Rb-82,Rubidium chloride Rb-82 injection  is a sterile nonpyrogenic solutions of rubidium Rb 82 chloride. It is indicated for Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate regional myocardial perfusion in adult patients with suspected or existing coronary artery disease.,"Rb-82 is analogous to potassium ion (K+) in its biochemical behavior and is rapidly extracted by the myocardium proportional to the blood flow. Rb+ participates in the sodium-potassium (Na+/K+) ion exchange pumps that are present in cell membranes. The intracellular uptake of Rb-82 requires maintenance of ionic gradient across cell membranes. Rb-82 radioactivity is increased in viable myocardium reflecting intracellular retention, while the tracer is cleared rapidly from necrotic or infarcted tissue."
DB09480,Iofetamine I-123,,
DB09481,Magnesium carbonate,"Magnesium carbonate, also known as magnesite, is a common over the counter remedy for heartburn and upset stomach caused by overproduction of acid in the stomach [FDA Label].",Magnesium carbonate reacts with hydrochloric acid in the stomach to form carbon dioxide and magnesium chloride thus neutralizing excess acid in the stomach [L593].
DB09483,Potassium lactate,,
DB09484,Sodium fluorophosphate,Sodium monofluorophosphate is used in OTC dental preparations to help protect against cavities.,
DB09487,Iotrolan,"Nonionic, isotonic contrast medium designed for intrathecal use.",
DB09488,Acrivastine,"Acrivastine is a triprolidine analog antihistamine indicated for the treatment of allergies and hay fever.  As an H1 receptor antagonist, it functions by blocking the action of histamine at this receptor thereby preventing the symptoms associated with histamine release such as pruritis, vasodilation, hypotension, edema, bronchoconstriction, and tachycardia. 

Acrivastine is currently available in combination with pseudoephedrine as the FDA-approved product Semprex-D.",
DB09490,Indium In-111 chloride,"Indium In-111 Chloride is a diagnostic radiopharmaceutical agent intended for radiolabeling OncoScint (satumomab pendetide) or ProstaScint (capromab pendetide) used for _in vivo_ diagnostic imaging procedures and for radiolabeling Zevalin (ibritumomab tiuxetan) in preparations used for radioimmunotherapy procedures. It  is supplied as a sterile, pyrogen-free solution of Indium (""'In) Chloride in O.04M HCI.","Indium In-111 Chloride is a radioactive tracer for labeling monoclonal antibodies in certain preparations such as OncoScint, ProstaScint and Zevalin. Its mechanism of action is related to the final product and not specific to Indium In-111 Chloride alone"
